id,nivel,tipo,seccion,area_m2,L_m,volumen_m3,pp_m_unit_kN_m,pp_potencial_kN,material_conocido,material_pendiente,motivo,estado,decision,documentos_revisados
col_47.78_-0.6_base_P3,P3,columna metalica (P.M.I.),P.M.I.,,,,,,acero (perfil metalico),dimensiones BxHxt,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA),PENDIENTE_SECCION,estado PENDIENTE_SECCION (no exiten BxHxt documentadas),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_47.89_8.3_base_P3,P3,columna metalica (P.M.I.),P.M.I.,,,,,,acero (perfil metalico),dimensiones BxHxt,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA),PENDIENTE_SECCION,estado PENDIENTE_SECCION (no exiten BxHxt documentadas),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_47.82_15.51_base_P3,P3,columna metalica (P.M.I.),P.M.I.,,,,,,acero (perfil metalico),dimensiones BxHxt,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA),PENDIENTE_SECCION,estado PENDIENTE_SECCION (no exiten BxHxt documentadas),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_50.58_-0.6_base_P3,P3,columna metalica (P.M.I.),P.M.I.,,,,,,acero (perfil metalico),dimensiones BxHxt,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA),PENDIENTE_SECCION,estado PENDIENTE_SECCION (no exiten BxHxt documentadas),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_50.82_8.61_base_P3,P3,columna metalica (P.M.I.),P.M.I.,,,,,,acero (perfil metalico),dimensiones BxHxt,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA),PENDIENTE_SECCION,estado PENDIENTE_SECCION (no exiten BxHxt documentadas),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_50.71_15.85_base_P3,P3,columna metalica (P.M.I.),P.M.I.,,,,,,acero (perfil metalico),dimensiones BxHxt,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA),PENDIENTE_SECCION,estado PENDIENTE_SECCION (no exiten BxHxt documentadas),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_20.5_20.72_base_P3,P3,columna metalica (P.M.I.),P.M.I.,,,,,,acero (perfil metalico),dimensiones BxHxt,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA),PENDIENTE_SECCION,estado PENDIENTE_SECCION (no exiten BxHxt documentadas),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_30.51_20.66_base_P3,P3,columna metalica (P.M.I.),P.M.I.,,,,,,acero (perfil metalico),dimensiones BxHxt,perfil metalico sin dimensiones BxHxt documentadas (P.M.I.: ancho=0.0/peralte=0.0 en el QA),PENDIENTE_SECCION,estado PENDIENTE_SECCION (no exiten BxHxt documentadas),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_45.97_1.36_base_P4,P4,columna metalica (tubular),P.M. 300x300x20,0.0224,,,1.7244,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_48.77_7.46_base_P4,P4,columna metalica (tubular),P.M. 300x300x20,0.0224,,,1.7244,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_51.97_8.12_base_P4,P4,columna metalica (tubular),P.M. 300x300x20,0.0224,,,1.7244,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_52.11_15.23_base_P4,P4,columna metalica (tubular),P.M. 300x300x20,0.0224,,,1.7244,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_48.73_17.3_base_P4,P4,columna metalica (tubular),P.M. 300x300x20,0.0224,,,1.7244,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_21.5_21.03_base_P4,P4,columna metalica (tubular),P.M. 300x300x20,0.0224,,,1.7244,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_31.55_21.03_base_P4,P4,columna metalica (tubular),P.M. 300x300x20,0.0224,,,1.7244,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
col_52.08_-0.87_base_P4,P4,columna metalica (tubular),P.M. 300x300x20,0.0224,,,1.7244,,acero (seccion tubular confirmada),"tramo real documentado (base->nivel real, no hipotesis)",seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiende a la base.,PENDIENTE_TRAMO,pp null + PENDIENTE_TRAMO cuando la seccion tubular esta confirmada (solo falta el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_E1_0.73,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_F1_10.74,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_H1_30.71,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_G1_20.42,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_I1_40.5,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_Ip1_44.24,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_E2_0.75,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_F2_10.74,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_G2_20.73,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
COL_EI_CP4_C_H2_30.76,P4,columna de hormigon,P. 70x70,0.48999999999999994,,,12.0131,,hormigon armado,tramo P3->P4 (desfase por implementar),"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisico documentado, no compensado); alineacion por confirmar",PENDIENTE_TRAMO,PENDIENTE_TRAMO (desfase +0.181 m documentado; FE no instancia el tramo),"['analisis_estructural/edificio_I/datos/candidatos/*.json', 'analisis_estructural/edificio_I/datos/candidatos/matrices_transformacion_unity.json', 'analisis_estructural/edificio_I/resultados/modelo_estructural/columnas_tramos_ei.json', 'viewer_unity/REPORTE_QA_GEOMETRIA_UNITY.md (secciones metalicas)', 'results/peso_propio_teorico_EDIFICIO_I_v2.json (objeto)']"
