#,categoria,simbolo_seccion,id,nivel,tipo,pp_m_unit_kN_m,L_m,pp_kN,continuacion,estado,motivo
23,C4_metalico_tubular_confirmado,P.M. 300x300x20,col_21.5_21.03_base_P4,P4,columna_metalica,1.7244,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
24,C4_metalico_tubular_confirmado,P.M. 300x300x20,col_31.55_21.03_base_P4,P4,columna_metalica,1.7244,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
25,C4_metalico_tubular_confirmado,P.M. 300x300x20,col_52.08_-0.87_base_P4,P4,columna_metalica,1.7244,,,,PENDIENTE_TRAMO,seccion tubular confirmada (V.M./P.M. BxHxt); solo falta documentar el tramo real entrepisos (lamina 800). No se extiend
26,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_E1_0.73,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
27,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_F1_10.74,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
28,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_H1_30.71,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
29,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_G1_20.42,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
30,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_I1_40.5,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
31,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_Ip1_44.24,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
32,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_E2_0.75,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
33,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_F2_10.74,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
34,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_G2_20.73,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
35,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_H2_30.76,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
36,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_I2_38.87,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
37,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_Ip2_43.95,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
38,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_E3_0.74,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
39,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_F3_9.24,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
40,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_G3_20.73,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
41,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_H3_29.21,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
42,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_I3_40.37,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
43,C2_seccion_confirmada_tramo_pendiente,P. 70x70,COL_EI_CP4_C_Ip3_44.52,P4,columna_hormigon,12.0131,,,SI,PENDIENTE_TRAMO,"el FE no instancia tramos hormigon P3->P4: P4 esta desplazado +0.181 m (matrices_transformacion_unity.json, desfase fisi"
44,C1_real_FE_seccion_pendiente,V.S.I. 20/150,H_EI_CP1S_y2732_0.200-21.600,CP1S,viga,,21.4,,,PENDIENTE_SECCION,material/tipo no confirmado (el FE la asume metalica provisional 30x60; el plano 'V.S.I.' no fija hormigon/acero)
45,C5_muro_una_sola_planta,e=0.7 m,M_EI_CP1S_003,CP1S,muro,,16.951,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
46,C5_muro_una_sola_planta,e=0.2 m,M_EI_CP1S_004,CP1S,muro,,4.479,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
47,C5_muro_una_sola_planta,e=0.2 m,M_EI_CP1S_005,CP1S,muro,,4.479,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
48,C5_muro_una_sola_planta,e=0.2 m,M_EI_CP1S_006,CP1S,muro,,2.35,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
49,C5_muro_una_sola_planta,e=0.2 m,M_EI_CP1S_007,CP1S,muro,,2.35,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
50,C5_muro_una_sola_planta,e=0.2 m,M_EI_CP1_001,P1,muro,,16.15,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
51,C5_muro_una_sola_planta,e=0.3 m,M_EI_CP1_002,P1,muro,,17.08,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
52,C5_muro_una_sola_planta,e=0.3 m,M_EI_CP1_003,P1,muro,,6.1,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
53,C5_muro_una_sola_planta,e=0.15 m,M_EI_CP1_004,P1,muro,,3.05,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
54,C5_muro_una_sola_planta,e=0.25 m,M_EI_CP2_004,P2,muro,,1.679,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
55,C5_muro_una_sola_planta,e=0.25 m,M_EI_CP2_005,P2,muro,,1.679,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
56,C5_muro_una_sola_planta,e=0.25 m,M_EI_CP3_004,P3,muro,,1.479,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
57,C5_muro_una_sola_planta,e=0.25 m,M_EI_CP3_005,P3,muro,,1.479,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
58,C5_muro_una_sola_planta,e=0.2 m,M_EI_CP4_001,P4,muro,,6.8,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
59,C5_muro_una_sola_planta,e=0.3 m,M_EI_CP4_002,P4,muro,,2.15,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
60,C5_muro_una_sola_planta,e=0.3 m,M_EI_CP4_003,P4,muro,,2.15,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
61,C5_muro_una_sola_planta,e=0.25 m,M_EI_CP4_004,P4,muro,,1.578,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
62,C5_muro_una_sola_planta,e=0.25 m,M_EI_CP4_005,P4,muro,,1.578,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
63,C5_muro_una_sola_planta,e=0.2 m,M_EI_CP4_006,P4,muro,,3.45,,,PENDIENTE_TRAMO,muro documentado en UN solo nivel (o solo CP1S); extent of vertical real entrepisos no documentado o coordenadas no coin
64,C6_no_incluida,M.H.A. e=30,V_EI_CP1S_x1010_0.700-16.150,CP1S,no viga (muro M.H.A. e=30),,15.4502,,,NO_INCLUIDA,seccion de muro (M.H.A. e=30) en lista de vigas: no es viga
65,C3_hipotesis_base_nivel,segun FE,HIPOTESIS_columnas_base_nivel,BASE->nivel,hipotesis FE base->nivel (columnas),,,4223.8204,,PENDIENTE_HIPOTESIS_FE,informativo; NO suma al total confirmado
66,C3_hipotesis_base_nivel,segun FE,HIPOTESIS_muros_base_nivel,BASE->nivel,hipotesis FE base->nivel (muros),,,3675.1844,,PENDIENTE_HIPOTESIS_FE,informativo; NO suma al total confirmado
67,C3_hipotesis_base_nivel,"e=0.2 m, panel=25.25 m",M_EI_CP1S_001,CP1S,muro de contencion del sotano,,25.25,371.4269,,HIPOTESIS_CIMENTACION,desciende a cimentacion por hipotesis h_sotano=3.0 m; fuera del total confirmado
68,C3_hipotesis_base_nivel,"e=0.3 m, panel=8.299 m",M_EI_CP1S_002,CP1S,muro de contencion del sotano,,8.299,183.1171,,HIPOTESIS_CIMENTACION,desciende a cimentacion por hipotesis h_sotano=3.0 m; fuera del total confirmado
